date_n,Mkt_RF,SMB,HML,RF,date,year,month,yyyymm
19260701,2.96,-2.3,-2.87,0.22,01JUL1926,1926,7,192607
19260801,2.64,-1.4,4.19,0.25,01AUG1926,1926,8,192608
19260901,0.36,-1.32,0.01,0.23,01SEP1926,1926,9,192609
19261001,-3.24,0.04,0.51,0.32,01OCT1926,1926,10,192610
19261101,2.53,-0.2,-0.35,0.31,01NOV1926,1926,11,192611
19261201,2.62,-0.04,-0.02,0.28,01DEC1926,1926,12,192612
19270101,-0.06,-0.56,4.83,0.25,01JAN1927,1927,1,192701
19270201,4.18,-0.1,3.17,0.26,01FEB1927,1927,2,192702
19270301,0.13,-1.6,-2.67,0.3,01MAR1927,1927,3,192703
19270401,0.46,0.43,0.6,0.25,01APR1927,1927,4,192704
19270501,5.44,1.41,4.93,0.3,01MAY1927,1927,5,192705
19270601,-2.34,0.47,-1.53,0.26,01JUN1927,1927,6,192706
19270701,7.26,-3.23,-1.16,0.3,01JUL1927,1927,7,192707
19270801,1.97,-0.72,-3.69,0.28,01AUG1927,1927,8,192708
19270901,4.76,-3.57,-0.71,0.21,01SEP1927,1927,9,192709
19271001,-4.31,2.13,-4.33,0.25,01OCT1927,1927,10,192710
19271101,6.58,2.76,-0.31,0.21,01NOV1927,1927,11,192711
19271201,2.09,0.93,-1.06,0.22,01DEC1927,1927,12,192712
19280101,-0.68,4.25,-0.72,0.25,01JAN1928,1928,1,192801
19280201,-1.7,-2.03,-0.69,0.33,01FEB1928,1928,2,192802
19280301,8.81,-0.26,-1.2,0.29,01MAR1928,1928,3,192803
19280401,4.23,3.82,3.67,0.22,01APR1928,1928,4,192804
19280501,1.52,2.98,-3.46,0.32,01MAY1928,1928,5,192805
19280601,-4.85,-3.5,-0.06,0.31,01JUN1928,1928,6,192806
19280701,0.62,-1.35,-0.47,0.32,01JUL1928,1928,7,192807
19280801,6.68,-2.07,-2.11,0.32,01AUG1928,1928,8,192808
19280901,2.88,2.18,0.76,0.27,01SEP1928,1928,9,192809
19281001,1.33,2.27,-2.26,0.41,01OCT1928,1928,10,192810
19281101,11.81,-1.81,2.8,0.38,01NOV1928,1928,11,192811
19281201,0.36,-0.85,-0.6,0.06,01DEC1928,1928,12,192812
19290101,4.66,-3.55,-1.21,0.34,01JAN1929,1929,1,192901
19290201,-0.34,-0.39,1.68,0.36,01FEB1929,1929,2,192902
19290301,-0.89,-4.78,1.56,0.34,01MAR1929,1929,3,192903
19290401,1.43,-0.99,0.61,0.36,01APR1929,1929,4,192904
19290501,-6.39,-5.46,-1.57,0.44,01MAY1929,1929,5,192905
19290601,9.7,-2.17,-2.76,0.52,01JUN1929,1929,6,192906
19290701,4.46,-3.87,2.67,0.33,01JUL1929,1929,7,192907
19290801,8.18,-9.51,0.07,0.4,01AUG1929,1929,8,192908
19290901,-5.47,1.17,-0.63,0.35,01SEP1929,1929,9,192909
19291001,-20.12,-4.08,7.85,0.46,01OCT1929,1929,10,192910
19291101,-12.74,-1.91,5.33,0.37,01NOV1929,1929,11,192911
19291201,1.33,-4.2,-0.59,0.37,01DEC1929,1929,12,192912
19300101,5.61,3.58,-1.01,0.14,01JAN1930,1930,1,193001
19300201,2.5,0.12,0.39,0.3,01FEB1930,1930,2,193002
19300301,7.1,3.44,0.15,0.35,01MAR1930,1930,3,193003
